Olay numarası,Lokasyon,Olay Tarihi,Olay Saati,Olay Tipi,Olay Grubu,Olay Alt Grubu,Saha,Olayın Kısa Açıklaması,OSAR Aşaması,Sorumlu Kişi,Seviye,Araştırmanın Tamamlanma Durumu,Olay Araştırma Kalan Gün sayısı,Döf Numarası,PE Seviye
1027840,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,7.03.2019,00:00:00,Olay,"PE, IG","PE-Kaçak/döküntü; İG-Ekipman işlev, bütünlüğünün bozulması; İG-Start-up arızaları",PM-8203/B,PM-8203/B,Olay tamamlandı,,ZIM_LEVEL_03,Geçersiz,0,,Seviye 3
1027846,9200 CCR PLATFORMİNG ÜNİTESİ,6.03.2019,09:45:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",CCR Saha,CCR Saha zemin uygunsuzlukları,Olay tamamlandı,,,Geçersiz,0,4485.1,
1027867,3000 TANK SAHASI,7.03.2019,00:00:00,Kazaya ramak kala,İSG,"İş sahası ve ekipmanlar; Düşme tehlikesi(Açık kablo kanalları,.); İş izin sistemi",Tk-3106 steam platformu önü,Tk-3106 tankında kırılan kablo kanal kapakları,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4489.1,Seviye 4
1027876,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,28.02.2019,16:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.); Yüksekte emniyetsiz çalışma.; Yüksekte çalışırken KKD; Ergonomik uygunsuzluk (kaldırma/indirme); Ekipman durumu uygun değil.",u-100 ünitesi yemekhane,A tipi merdiven ile uygunsuz çalışma yapılması,Olay tamamlandı,,,Geçersiz,0,,
1027893,9600 ISOMERİZASYON ÜNİTESİ,8.03.2019,00:00:00,Olay,IG,İG-Başarısız test ve kontroller,,PM-9609/B PSV testi geçemedi,Olay tamamlandı,,ZIM_LEVEL_04,Zamanında tamamlandı,30,11904,Seviye 4
1027892,4300 FCC LPG MEROX ÜNİTESİ,4.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,FCC U-4300,Olay tamamlandı,,,Geçersiz,0,,
1027895,3000 TANK SAHASI,4.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,TK-3002,TK-3002,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,,Seviye 4
1027896,2700 OF SITE,5.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,Off Site,Olay tamamlandı,,,Geçersiz,0,,
1027897,2700 OF SITE,5.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,PHÜ 5 nolu yol kavşağı,PHÜ 5 nolu yol kavşağı,Olay tamamlandı,,,Geçersiz,0,4488.1,
1027898,910 GAZ TÜRBİNİ ENERJİ ÜRETİM ÜNİTESİ,5.02.2019,00:00:00,Olay,IG,İG-Başarısız test ve kontroller,RMS-B.,920PSV3002 Geç Açmıştır.,Olay tamamlandı,,,Zamanında tamamlandı,27,11905,
1027899,2700 OF SITE,5.03.2019,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,900 Otopark,900 Otopark,Olay tamamlandı,,,Geçersiz,0,,
1027968,4900 FCC UTİLİTE (CO ÜNİTESİ),5.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",,4000 CO Kazanı,Olay tamamlandı,,,Geçersiz,0,,
1027970,2700 OF SITE,5.03.2019,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,İç Kapı yolu,İç Kapı yolu,Olay tamamlandı,,,Geçersiz,0,,
1027972,901Y RUS KAZANLARI,7.03.2019,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,,901-Y,Olay tamamlandı,,,Geçersiz,0,,
1027974,901Y RUS KAZANLARI,5.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",,901-Y,Olay tamamlandı,,,Geçersiz,0,,
1027975,"8000 BORD, OF SAYT VE BATERİ LİMİT",7.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,8000 bord,Olay tamamlandı,,,Geçersiz,0,4494.1,
1027977,"9000 CCR ÜNT. SUBSTATION , BATERİ LİMİT",7.03.2019,00:00:00,Güvenlik izleme,İSG,Baret/İş ayakkabısı ve iş kıyafeti,,DHP ünitesi,Olay tamamlandı,,,Geçersiz,0,,
1027978,3000 TANK SAHASI,7.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",TK-3252,PHÜ TK-3252,Olay tamamlandı,,,Geçersiz,0,4495.1,
1027979,3000 TANK SAHASI,7.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",TK-3252,PHÜ TK-3252,Olay tamamlandı,,,Geçersiz,0,,
1027981,3000 TANK SAHASI,7.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",TK-3252,PHÜ TK-3252,Olay tamamlandı,,,Geçersiz,0,,
1027983,PROJE MÜDÜRLÜĞÜ MÜTEAHHİT SAHASI,7.03.2019,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,,Teknokon Ofis Bölgesi,Olay tamamlandı,,,Geçersiz,0,,
1027986,3000 TANK SAHASI,7.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",TK-3004,TK-3004,Olay tamamlandı,,,Geçersiz,0,4496.1,
1027987,EMNİYET ÇEVRE KALİTE MÜDÜRLÜĞÜ,7.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,ASA,Olay tamamlandı,,,Geçersiz,0,,
1027991,9600 ISOMERİZASYON ÜNİTESİ,9.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,İSO 9000,Olay tamamlandı,,,Geçersiz,0,4497.1,
1028005,BAK.MÜD./METAL ATÖLYESİ,5.03.2019,00:00:00,Güvenlik izleme,Proses emniyeti,Prosedürler/standartlar bilinmiyor; Ekipman durumu uygun değil.,VANA ATÖLYESİ,1900PSV2A no'lu PSV bakımında set basıncının yanlış yapılması,Olay tamamlandı,,,Geçersiz,0,4498.1,
1028095,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,8.03.2019,00:00:00,Güvenlik izleme,İSG,Sıcak yüzeyler.,,U-100,Olay tamamlandı,,,Geçersiz,0,4499.1,
1028097,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",,U-100,Olay tamamlandı,,,Geçersiz,0,,
1028168,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,6.03.2019,02:00:00,Olay,IG,"İG-Ekipman işlev, bütünlüğünün bozulması",T-8302 kolonu PSV'si,83PSV003A Set değerinden önce açması,Olay tamamlandı,,,Zamanında tamamlandı,2,12046,
1028173,2460 KARADOLUM SİYAH ÜRÜN YÜKLEME İST.,13.03.2019,00:00:00,Olay,IG,"İG-Ekipman işlev, bütünlüğünün bozulması; İG-Başarısız test ve kontroller; İG-Ürün kalitesi sorunu",,Asfalt Sahası 4'' Steam Hattında Dizayn Problemi,Olay tamamlandı,,,Zamanında tamamlandı,4,12038,
1028190,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,13.03.2019,00:00:00,Güvenlik izleme,İSG,Yüksekte duran emniyetsiz malzemeler,D-8201 KORİDOR TARAFI,düşme tehlikrsi olan çatı izolasyon malzemesi,Olay tamamlandı,,,Geçersiz,0,4509.1,
1028304,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,7.02.2019,04:00:00,Olay,"PE, IG","PE-Kaçak/döküntü; İG-Ekipman işlev, bütünlüğünün bozulması",Ü.1600 TK.1616/A,TK.1616/A BOŞALTMA HAT FLANŞINDA KAÇAK,Olay tamamlandı,,ZIM_LEVEL_03,Geçersiz,0,,Seviye 3
1028357,İŞLETME GÜVENİRLİĞİ MÜDÜRLÜĞÜ,14.03.2019,17:00:00,Kazaya ramak kala,Proses emniyeti,Yangın/patlama tehlikesi,İGM MKK LABORATUVAR  YANI ÇALIŞMA OFİSİ,TÜP03P0427 YAZICI HK.,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4586.1,Seviye 4
1028358,4900 FCC UTİLİTE (CO ÜNİTESİ),13.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,FCC co Kazanı,Olay tamamlandı,,,Geçersiz,0,4531.1,
1028359,4900 FCC UTİLİTE (CO ÜNİTESİ),13.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,FCC CO kazanı,Olay tamamlandı,,,Geçersiz,0,4532.1,
1028367,2500 E/C/Y SOĞUTMA KULELERİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Islak/kaygan zemin,2510/1-2-3-4-5-6,2500-Y,Olay tamamlandı,,,Geçersiz,0,4534.1,
1028370,8100 HYDROCRACKER VAKUM DİST. ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,8100,Olay tamamlandı,,,Geçersiz,0,4549.1,
1028372,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Mevcut değil veya düzgün çalışmıyor,8307 B,8300,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4550.1,Seviye 4
1028375,PH 2300 POMPA TRANSFER SATIŞ SAHASI,8.03.2019,00:00:00,Güvenlik izleme,İSG,Makine muhafazaları yeterli değil,2390 nolu pompa istasyonu,PHÜ,Olay tamamlandı,,,Geçersiz,0,4589.1,
1028374,9600 ISOMERİZASYON ÜNİTESİ,15.03.2019,11:00:00,Olay,PE,PE-Kaçak/döküntü,,ISO Ünitesi  Klor Varili Delik Çıktı,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,25,12036,Seviye 3
1028376,PH 2350 SİYAH ÜRÜN POMPA İSTASYONU,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,PHÜ,Olay tamamlandı,,,Geçersiz,0,4590.1,
1028385,5400 LPG PLATFORMU,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",Deniz dolum MB2'ye çıkış,LPG iskelesi,Olay tamamlandı,,,Geçersiz,0,4591.1,
1028387,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Islak/kaygan zemin,8308/A nolu dik pompa,8300,Olay tamamlandı,,,Geçersiz,0,4592.1,
1028388,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",CM-8202/C,8200,Olay tamamlandı,,,Geçersiz,0,4593.1,
1028390,8500 VİSBREAKER ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Sıcak yüzeyler.,,8500,Olay tamamlandı,,,Geçersiz,0,4594.1,
1028414,KİRALIK ARAÇLAR,14.03.2019,06:20:00,Olay,ISG,ISG-Kayıp zamanlı kaza,GAZİEMİR VARDİYA - TÜPRAŞ SERVİSİ,ARİZALİ ARACİN GAZİEMİR VARDİYAYA GONDERİLMESİ,Lokasyon amirinde bekliyor,TOLGA ŞENYUVA,,Araştırma başlamadı,0,,
1028432,8500 VİSBREAKER ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",,8500,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4595.1,Seviye 4
1028433,8500 VİSBREAKER ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Kimyasallar(Tanımsız,etiketsiz,MKK sız)",8515/A,8500,Olay tamamlandı,,,Geçersiz,0,4551.1,
1028434,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,8.03.2019,00:00:00,Güvenlik izleme,İSG,Makine muhafazaları yeterli değil,9909/A,DHP,Olay tamamlandı,,,Geçersiz,0,4552.1,
1028435,9300 CCR REJENERASYON ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,CCR,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,,Seviye 4
1028436,9200 CCR PLATFORMİNG ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,PT-9202/B,CCR,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,,Seviye 4
1028437,4000 FCC KATALİTİK KRAKİNG ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Mevcut değil veya düzgün çalışmıyor,4004 nolu kollektör,FCC,Olay tamamlandı,,,Geçersiz,0,4535.1,
1028438,4000 FCC KATALİTİK KRAKİNG ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,FCC,Olay tamamlandı,,,Geçersiz,0,,
1028439,4100 FCC FRACTIONATION ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Makine muhafazaları yeterli değil,PM-4107/A,FCC,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4536.1,Seviye 4
1028440,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",7202/S ve 7203/A nolu pompaların arasında kalan ızgara,7000,Olay tamamlandı,,,Geçersiz,0,4537.1,
1028442,906 JAPON BUHAR KAZANLARI ÜNİTESİ,11.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,U-900,Olay tamamlandı,,,Geçersiz,0,4538.1,
1028445,906 JAPON BUHAR KAZANLARI ÜNİTESİ,11.03.2019,00:00:00,Güvenlik izleme,İSG,Yaralnma riskni artıran tehl.çıkıntılar,PM-72/A pompası,U-900,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4539.1,Seviye 4
1028447,PROJE MÜDÜRLÜĞÜ MÜTEAHHİT SAHASI,9.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,Müteahhit sahası,Olay tamamlandı,,,Geçersiz,0,4540.1,
1028448,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,11.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",TK-1622/E tankından 1622/D tankına geçiş plarformu,PHÜ TK1622/D,Olay tamamlandı,,,Geçersiz,0,4541.1,
1028449,2700 OF SITE,12.03.2019,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,,1 Nolu yol,Olay tamamlandı,,,Geçersiz,0,,
1028450,2700 OF SITE,8.03.2019,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,,E yolu,Olay tamamlandı,,,Geçersiz,0,,
1028461,"9000 CCR ÜNT. SUBSTATION , BATERİ LİMİT",13.03.2019,00:00:00,Güvenlik izleme,İSG,Yasal gerekliliğe uygunsuzluk,,DHP,Olay tamamlandı,,,Geçersiz,0,,
1028470,3000 TANK SAHASI,18.03.2019,00:00:00,Olay,IG,"İG-Üretim kayıplı ünite duruşları; İG-Ekipman işlev, bütünlüğünün bozulması",,Petrol Hareketleri Ünitesi UPS sistemi arızası,Olay tamamlandı,,,Geçersiz,0,,
1028473,1500 YAĞIN HİDOJENLE SONLANDIRMA ÜNİTESİ,14.03.2019,00:00:00,Olay,IG,İG-Ürün kalitesi sorunu,,Bright Stok Bulanıklık problemi,Olay tamamlandı,,,Gecikmeli tamamlandı,-29,12251,
1028484,460 KEROSEN ÜNİTESİ,1.03.2019,00:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",,U-460,Olay tamamlandı,,,Geçersiz,0,,
1028523,1100 VAKUM DESTİLASYON ÜNİTESİ,18.03.2019,12:40:00,Olay,"PE, IG","PE-Yangın/patlama/parlama; İG-Ekipman işlev, bütünlüğünün bozulması",PT-1101/B TÜRBİN,PT-1101/B DE PARLAMA,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-6,12069,Seviye 3
1028532,5320 KARGO İSKELESİ,19.03.2019,11:00:00,Güvenlik izleme,İSG,Yasal gerekliliğe uygunsuzluk,eski iskele sayaç istasyonu yönünde ark inşaat yan tarafı,harput mekanik- malzeme ambarında sigara içilmesi hk.,Olay tamamlandı,,,Geçersiz,0,,
1028544,3000 TANK SAHASI,19.03.2019,10:20:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...); Yüksekte emniyetsiz çalışma.",TK-3252 Merdiveni,TK-3252 Merdiveni Sallanması,Olay tamamlandı,,,Geçersiz,0,4599.1,
1028548,PROJE MÜDÜRLÜĞÜ MÜTEAHHİT SAHASI,19.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",Bakım yüklenici atölyesi alve konteynır arkası,Bakım Yüklenici Atölye Sahası,Olay tamamlandı,,,Geçersiz,0,4600.1,
1028550,3000 TANK SAHASI,19.03.2019,10:00:00,Güvenlik izleme,İSG,"Tertip, düzen",TK-3252 Tankının Tk-3105 bölgesine bakan kısmı,TK-3252 Tank önü atıkları,Olay tamamlandı,,,Geçersiz,0,4597.1,
1028561,1900 ASVALT HAZIRLAMA ÜNİTESİ,19.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen","Saha geneli sosyal tesise giden yolda, baz yağları cendereleri önünde, atık sahasına giden yolda.
Neresi olduğu anlaşılmamıştır.",Teknokon Firması Saha Geneli İzole Saç Atıkları Hakkında,Olay tamamlandı,,,Geçersiz,0,4601.1,
1028571,200R BENZİN KÜK. GİDER/KATALTİK REFORMER,19.03.2019,17:00:00,Olay,IG,İG-Üretim kayıplı ünite duruşları,Şarj,U-200 Şarjı nda Önemli Değişiklik,Olay tamamlandı,,,Zamanında tamamlandı,30,12215,
1028576,2460 KARADOLUM SİYAH ÜRÜN YÜKLEME İST.,19.03.2019,14:00:00,Olay,IG,"İG-Başarısız test ve kontroller; İG-Tekrarlayan ekipman arızaları; İG-Ekipman işlev, bütünlüğünün bozulması",YENİ SİYAH ÜRÜN SAHASI ASFALT HATLARI BATARY LİMİT BÖLGESİ,PSV nin  set değeri üzerinde açması,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-18,12151,Seviye 3
1028581,3000 TANK SAHASI,18.03.2019,11:00:00,Olay,IG,"İG-Start-up arızaları; İG-Ekipman işlev, bütünlüğünün bozulması",Tk-3031,Tk-3031e Uygun Olmayan Ürün Gitmesi,Geçersiz,,,Geçersiz,0,,
1028598,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,20.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",,DHP Ünt. de atıl vaziyette duran izole ve izole saçları,Olay tamamlandı,,,Geçersiz,0,4610.1,
1028601,300 KEROSİN-DİZEL KÜKÜRT GİDERME ÜNİTESİ,18.03.2019,06:28:00,Olay,IG,İG-Sahte IPF tripleri,,CM-303/A ve CM-303/B Tribi,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-1,12070,Seviye 3
1028603,3000 TANK SAHASI,20.03.2019,00:00:00,Güvenlik izleme,İSG,Yangın/patlama tehlikesi; Prosedürler/standartlar bilinmiyor; İzinsiz ekipman kullanımı.; İTA standardının uygulanması ihlalleri,2300 pom. sahası,2300 Sahası Fenermekanik belirtilen iş tarifinin dışında çalışma,Olay tamamlandı,,,Geçersiz,0,,
1028642,5320 KARGO İSKELESİ,21.03.2019,10:00:00,Güvenlik izleme,İSG,"Tertip, düzen","Ark İnşaat Yanı Hidrant, fotoğrafı ektedir.",Ordinat Firması Atıkları Hakkında,Olay tamamlandı,,,Geçersiz,0,,
1028643,2010 Y AKARYAKIT FLAIRE SAHASI,20.03.2019,11:00:00,Güvenlik izleme,İSG,"Tertip, düzen",7000 Flare sahası,7000 Flare Tankları Hakkında,Olay tamamlandı,,,Geçersiz,0,,
1028659,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,21.03.2019,00:00:00,Güvenlik izleme,İSG,Ekipman durumu uygun değil.,PM-1604/B,1600,Olay tamamlandı,,,Geçersiz,0,4612.1,
1028663,BAK.MÜD./BAKIM MÜDÜRLÜĞÜ,21.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,Eski iş makineleri,Olay tamamlandı,,,Geçersiz,0,4613.1,
1028665,BAK.MÜD./BAKIM MÜDÜRLÜĞÜ,21.03.2019,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,Eski İş Makineleri,Olay tamamlandı,,,Geçersiz,0,4614.1,
1028697,1400 MEK.TOL.İLE YAĞI WAKSTAN ARINDIRMA,6.03.2019,00:00:00,Güvenlik izleme,İSG,Sıcak yüzeyler.,D-1429,1400,Olay tamamlandı,,,Geçersiz,0,4618.1,
1028698,EMNİYET ÇEVRE KALİTE MÜDÜRLÜĞÜ,8.03.2019,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,TÇM Atık sahası,TÇM Atık sahası,Olay tamamlandı,,,Geçersiz,0,,
1028699,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",1622/B Tankı,1622/B Tankı,Olay tamamlandı,,,Geçersiz,0,4619.1,
1028701,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,8.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen",TK-1622/B,1622/B tankı,Olay tamamlandı,,,Geçersiz,0,4620.1,
1028702,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,11.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",D-7208/B,U-7000,Olay tamamlandı,,,Geçersiz,0,4621.1,
1028703,3000 TANK SAHASI,12.03.2019,00:00:00,Güvenlik izleme,İSG,Emin giriş/ateşli iş sertifikası ihlali,TK-3105,PHÜ TK-3105,Olay tamamlandı,,,Geçersiz,0,,
1028704,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,13.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",H-100,U-100 Ünitesi,Olay tamamlandı,,,Geçersiz,0,4622.1,
1028705,PH 2390 FUELOİL VE DİZEL YAKIT POMPA İS.,14.03.2019,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,2390 pompa arkası,Olay tamamlandı,,,Geçersiz,0,4623.1,
1028710,İNSAN KAYNAKLARI MÜDÜRLÜĞÜ,21.03.2019,12:30:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,Kafeterya önü,Yemekhane,Olay tamamlandı,,,Geçersiz,0,,
1028737,KİRALIK ARAÇLAR,22.03.2019,07:25:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,ULUKENT SERVİSİNDE SAĞDAN 3. CAM KENARI KOLTUĞUNUN EMNİYET KEMERİNİN KİLİT MEKANİZMASI ÇALIŞMAMAKTADIR,ULUKENT SERVİSİ EMNİYET KEMERİ PROBLEMİ,Olay tamamlandı,,,Geçersiz,0,4624.1,
1028738,907 JAPON KİMYASAL SU ARITMA ÜNİTESİ,21.03.2019,16:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Yüksekte duran emniyetsiz malzemeler; Yaralnma riskni artıran tehl.çıkıntılar",907 ÜNİTESİ B SİSTEMİ  KATYON HCL VANASININ YANINDA VE FOTODA GÖREBİLECEĞİNİZ KABLO GEÇİŞ GÜZERGAHLARINDA ATIL BULUNAN BU BAKIR TUBING BORULARIN SAHADAN ATILMASI GEREKMEKTEDİR.,907 ÜNİTESİNDE KULLANILMAYAN ESKİ BAKIR BORULAR,Olay tamamlandı,,,Geçersiz,0,4625.1,
1028739,100 HAMPETROL ATMOSFERİK DESTİLASYON ÜN.,22.03.2019,11:00:00,Güvenlik izleme,İSG,Çalışma alanında hareketli araçlar.; Yaralnma riskni artıran tehl.çıkıntılar,U100'DE E-107 EŞANJÖRÜ (ÜZERİNDEN TAM OKUYAMADIĞIM İÇİN E108 YADA E109 OLABİLİR.),100 ÜNİTESİ 107 EŞANJÖRÜNDEKİ ÇIKAN İZOLE,Olay tamamlandı,,,Geçersiz,0,4626.1,
1028742,5390 YENİ HAMPETROL İSKELESİ,22.03.2019,11:45:00,Güvenlik izleme,İSG,"Yaralnma riskni artıran tehl.çıkıntılar; Düşme tehlikesi(Açık kablo kanalları,.)",,YENİ İSKELE YOL KENARI YÜRÜME YOLU (YÜKSEK BETON YOL) BETONU KIRIK,Olay tamamlandı,,,Geçersiz,0,4629.1,
1028804,3000 TANK SAHASI,25.03.2019,15:00:00,Güvenlik izleme,İSG,"Yanlış KKD kullanma.; Tertip, düzen; Mek./elekt.izolasyon standartları ihlali; Prosedür/standart mevcut değil/yetersiz",TK-3105,İş iznine uygun çalışılmaması,Olay tamamlandı,,,Geçersiz,0,,
1028826,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,26.03.2019,10:30:00,Güvenlik izleme,İSG,Yangın/patlama tehlikesi,FIC7218 VANASININ ARKASINDAKİ DRAIN'LERDE KÖR TAPALARI BULUNMAMAKTADIR,7200 ünitesindeki drainlerde kör tapaların olmaması,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,4633.1,Seviye 4
1028828,3000 TANK SAHASI,26.03.2019,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Yaralnma riskni artıran tehl.çıkıntılar; Prosedürler/standartlar bilinmiyor; İTA standardının uygulanması ihlalleri",3106 TK yanı Radyan ısı duvarı önü G yolu,TEKNOKON FİRMASI,Olay tamamlandı,,,Geçersiz,0,,
1028830,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,26.03.2019,10:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Prosedür/standart mevcut değil/yetersiz; Kaldırma araçlarının uygunsuz kullanımı; İTA standardının uygulanması ihlalleri",u-7000 1 nolu saha P yapısı yanı,PSG firması kaldırma planı olmadan çalışma,Olay tamamlandı,,,Geçersiz,0,4634.1,
1028838,BAK.MÜD./İNŞAAT ATÖLYESİ,26.03.2019,14:00:00,Güvenlik izleme,İSG,"Tertip, düzen",Kumlama atölyesi,Hasyılsan Firmasının Atıkları,Olay tamamlandı,,,Geçersiz,0,,
1028865,300 KEROSİN-DİZEL KÜKÜRT GİDERME ÜNİTESİ,26.03.2019,00:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.); Uyarıcı işaretler eksik/yok",Ü-300 SAHASI P-9010/A YANI,ÜZERİ AÇIK LOGAR,Olay tamamlandı,,,Geçersiz,0,4638.1,
1028869,460 KEROSEN ÜNİTESİ,26.03.2019,21:00:00,Güvenlik izleme,İSG,Doğru ekipman kullanmama/uyg.sz kullanma,D-465/B kil dramı,Dram içine çakıl düşmesi,Olay tamamlandı,,,Geçersiz,0,,
1028923,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,18.03.2019,12:30:00,Olay,IG,İG-Start-up arızaları; İG-Üretim kayıplı ünite duruşları; İG-İhtiyaç anında oluşan IPF tripler,,U-8200 HYC Startup sırasında total trip oluşması,Olay tamamlandı,,ZIM_LEVEL_03,Geçersiz,0,,Seviye 3
